Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Pozo,1173975.375,1737321.611,Agricultura,7.4,959.4,29.8,470.6,0.523,959.4,0.523
Pozo,1173193.788,1737544.559,Agricultura,7.08,1138.0,31.0,558.4,0.615,1138.0,0.615
Pozo,1174239.701,1739330.461,Forestal,6.82,1488.0,30.5,729.5,0.797,1488.0,0.797
Pozo,1174853.572,1740327.455,Forestal,7.11,935.3,31.4,458.7,0.511,935.3,0.511
Pozo,1175181.157,1740145.551,Forestal,7.54,1076.0,31.9,527.8,0.583,1076.0,0.583
Pozo,1174256.046,1742936.374,Forestal,7.18,1326.0,30.7,650.1,0.713,1326.0,0.713
Pozo,1175186.453,1743355.911,Forestal,7.18,1073.0,31.8,526.3,0.582,1073.0,0.582
Pozo,1176546.561,1743290.053,Forestal,6.91,1403.0,32.2,688.1,0.753,1403.0,0.753
Pozo,1177964.266,1746206.097,Forestal,7.23,885.6,32.3,434.5,0.486,885.6,0.486
Pozo,1198592.641,1787830.811,Urbano,6.86,5654.0,34.0,2771.0,3.112,5654.0,3.112
Pozo,1174931.851,1742484.48,Forestal,7.26,1212.0,30.3,594.6,0.654,1212.0,0.654
Pozo,1179239.619,1744613.935,Forestal,7.72,758.0,31.4,371.9,0.421,758.0,0.421
Pozo,1178190.198,1750310.263,Forestal,7.19,1259.0,32.7,617.6,0.678,1259.0,0.678
Pozo,1180415.485,1751475.342,Forestal,7.47,1649.0,32.1,808.7,0.882,1649.0,0.882
Pozo,1182605.607,1750763.039,Forestal,7.07,2344.0,32.0,1149.0,1.252,2344.0,1.252
Pozo,1182519.316,1753132.371,Forestal,7.04,2502.0,32.1,1226.0,1.339,2502.0,1.339
Pozo,1181709.2,1754547.448,Forestal,7.01,2229.0,32.5,1093.0,1.191,2229.0,1.191
Pozo,1182368.297,1754798.039,Forestal,6.87,2638.0,32.9,1293.0,1.413,2638.0,1.413
Pozo,1183034.242,1755372.167,Forestal,7.06,1316.0,32.7,645.5,0.707,1316.0,0.707
Pozo,1185063.033,1758118.417,Forestal,6.96,2073.0,32.8,1.016,1.107,2073.0,1.107
Pozo,1186025.437,1758384.387,Forestal,7.2,2001.0,34.5,981.0,1.068,2001.0,1.068
Pozo,1186170.957,1756668.21,Forestal,7.62,2560.0,33.2,1.255,1.371,2560.0,1.371
Pozo,1183245.158,1764881.012,Forestal,7.63,1817.0,32.9,890.7,0.971,1817.0,0.971
Pozo,1185729.945,1763305.778,Forestal,7.65,1903.0,32.9,525.5,1.017,1903.0,1.017
Pozo,1182288.833,1761727.808,Forestal,7.71,1124.0,32.4,551.2,0.608,1124.0,0.608
Pozo,1182561.442,1762901.146,Forestal,7.76,1176.0,32.6,576.9,0.635,1176.0,0.635
Pozo,1186694.469,1762271.21,Forestal,7.56,2235.0,33.6,1096.0,1.195,2235.0,1.195
Pozo,1185525.057,1765940.275,Forestal,7.3,3957.0,33.8,1940.0,2.142,3957.0,2.142
Pozo,1186544.499,1767469.277,Forestal,7.1,5853.0,33.6,2868.0,3.227,5853.0,3.227
Pozo,1192544.777,1766270.8,Forestal,7.78,3892.0,34.2,1907.0,2.107,3892.0,2.107
Pozo,1190155.068,1765996.645,Forestal,7.55,5192.0,34.3,2545.0,2.846,5192.0,2.846
Pozo,1188924.788,1764875.056,Forestal,7.35,6587.0,33.5,3228.0,3.655,6587.0,3.655
Pozo,1189693.578,1768121.182,Forestal,7.35,3637.0,33.4,1783.0,1.97,3637.0,1.97
Pozo,1185621.928,1769253.093,Forestal,7.34,5289.0,33.9,2592.0,2.901,5289.0,2.901
Pozo,1180495.533,1748917.832,Forestal,7.31,2849.0,30.1,1396.0,1.528,2849.0,1.528
Pozo,1186237.991,1749863.312,Forestal,7.26,1195.0,32.4,586.1,0.645,1195.0,0.645
Pozo,1183528.75,1770194.701,Forestal,7.0,7893.0,32.9,3868.0,4.426,7893.0,4.426
Pozo,1191694.552,1770407.428,Forestal,7.48,3746.0,32.9,1836.0,2.025,3746.0,2.025
Pozo,1192105.979,1768470.192,Forestal,7.37,4283.0,33.2,2099.0,2.33,4283.0,2.33
Pozo,1191850.244,1773106.826,Forestal,7.26,6844.0,33.3,3353.0,3.997,6844.0,3.997
Pozo,1192839.842,1773362.305,Forestal,7.32,4957.0,33.9,2429.0,2.711,4957.0,2.711
Pozo,1191078.129,1774523.101,Forestal,7.34,4262.0,32.7,2089.0,2.316,4262.0,2.316
Aljibe,1191002.411,1774494.296,Forestal,8.08,2129.0,33.0,1044.0,1.138,2129.0,1.138
Pozo,1192710.134,1776180.761,Forestal,7.18,4178.0,33.3,2048.0,2.268,4178.0,2.268
Pozo,1192124.08,1779770.613,Forestal,7.24,4363.0,33.6,2138.0,2.372,4363.0,2.372
Aljibe,1193546.937,1779539.581,Forestal,7.75,2808.0,32.4,1376.0,1.504,2808.0,1.504
Pozo,1193981.491,1777415.532,Forestal,7.46,4382.0,34.1,2148.0,2.383,4382.0,2.383
Pozo,1190497.58,1779112.244,Forestal,7.57,2075.0,32.8,1017.0,1.109,2075.0,1.109
